sku,season,season_universe,season_tagline,kategori,nama_blend,narrative_context,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-WIN-012,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Ashen Station,The Dark Passage · Seasonal collection,Arjuno Medium SemiWashed 55% | Lintong Onan Medium SemiWashed 45%,Medium,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Arjuno serta Lintong Onan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed, menghadirkan nuansa apricot jam, roasted nut, milk caramel yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Velvety,Arjuno (Medium / SemiWashed): 550g (55%) | Lintong Onan (Medium / SemiWashed): 450g (45%) | total: 1000g,Best for Moka Pot
S-WIN-013,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Cracked Barracks,The Dark Passage · Seasonal collection,Java Preanger Medium Washed 45% | Aceh Gayo Dark Wine 35% | Wanoja Kamojang Medium Honey 20%,Medium,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Java Preanger serta Aceh Gayo serta Wanoja Kamojang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Wine, menghadirkan nuansa milk chocolate, toffee, brown sugar yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Medium Body,Java Preanger (Medium / Washed): 450g (45%) | Aceh Gayo (Dark / Wine): 350g (35%) | Wanoja Kamojang (Medium / Honey): 200g (20%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-014,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Sealed Outpost,The Dark Passage · Seasonal collection,Solok Radjo Medium Anaerobic 50% | Java Puntang Medium SemiWashed 25% | Sidikalang Dark WetHulled 25%,Medium,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Solok Radjo serta Java Puntang serta Sidikalang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan SemiWashed, menghadirkan nuansa roasted nut, vanilla, clove yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Velvety,Solok Radjo (Medium / Anaerobic): 500g (50%) | Java Puntang (Medium / SemiWashed): 250g (25%) | Sidikalang (Dark / WetHulled): 250g (25%) | total: 1000g,Best for Moka Pot
S-WIN-015,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Frozen Passage,The Dark Passage · Seasonal collection,Bengkulu Medium Natural 50% | Java Ijen Raung Dark Honey 50%,Dark,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Bengkulu serta Java Ijen Raung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan Honey, menghadirkan nuansa prune, dark chocolate, berry jam yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Syrupy,Bengkulu (Medium / Natural): 500g (50%) | Java Ijen Raung (Dark / Honey): 500g (50%) | total: 1000g,Best for Espresso
S-WIN-016,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Hushed Alcove,The Dark Passage · Seasonal collection,Java Manglayang Medium SemiWashed 40% | Semeru Light Wine 35% | Bali Ulian Medium Wine 25%,Light,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Manglayang serta Semeru serta Bali Ulian dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Wine, menghadirkan nuansa balsamic, espresso, port wine yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Light Body,Java Manglayang (Medium / SemiWashed): 400g (40%) | Semeru (Light / Wine): 350g (35%) | Bali Ulian (Medium / Wine): 250g (25%) | total: 1000g,Best for V60
S-WIN-017,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Frozen Barracks,The Dark Passage · Seasonal collection,Papua Wamena Dark Wine 40% | Java Puntang Light Honey 35% | Java Garut Dark WetHulled 25%,Medium,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Papua Wamena serta Java Puntang serta Java Garut dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan Honey, menghadirkan nuansa white grape, intense earth, tobacco yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Smooth,Papua Wamena (Dark / Wine): 400g (40%) | Java Puntang (Light / Honey): 350g (35%) | Java Garut (Dark / WetHulled): 250g (25%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-018,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Scorched Depot,The Dark Passage · Seasonal collection,Papua Wamena Medium Anaerobic 50% | Flores Manggarai Dark Natural 30% | Papua Dogiyai Dark Natural 20%,Dark,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Papua Wamena serta Flores Manggarai serta Papua Dogiyai dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan Natural, menghadirkan nuansa charcoal, espresso, dark berry yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Heavy Body,Papua Wamena (Medium / Anaerobic): 500g (50%) | Flores Manggarai (Dark / Natural): 300g (30%) | Papua Dogiyai (Dark / Natural): 200g (20%) | total: 1000g,Ideal untuk Ristretto
S-WIN-019,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Charred Vault,The Dark Passage · Seasonal collection,Java Temanggung Medium WetHulled 50% | Papua Dogiyai Light Natural 25% | Lintong Onan Medium Natural 25%,Medium,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Papua Dogiyai serta Lintong Onan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Natural, menghadirkan nuansa prune, strawberry, hibiscus yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Medium Body,Java Temanggung (Medium / WetHulled): 500g (50%) | Papua Dogiyai (Light / Natural): 250g (25%) | Lintong Onan (Medium / Natural): 250g (25%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-020,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Dimmed Keep,The Dark Passage · Seasonal collection,Bali Ulian Light Wine 60% | Java Temanggung Dark Washed 25% | Lampung Robusta Premium Medium Anaerobic 15%,Light,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Bali Ulian serta Java Temanggung serta Lampung Robusta Premium dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan Washed, menghadirkan nuansa bitter chocolate, blackcurrant, fermented fruit yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Clean,Bali Ulian (Light / Wine): 600g (60%) | Java Temanggung (Dark / Washed): 250g (25%) | Lampung Robusta Premium (Medium / Anaerobic): 150g (15%) | total: 1000g,Best for V60
S-WIN-021,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Veiled Shelter,The Dark Passage · Seasonal collection,Semeru Light WetHulled 40% | Java Manglayang Dark SemiWashed 35% | Arjuno Medium Natural 25%,Medium,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Semeru serta Java Manglayang serta Arjuno dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan SemiWashed, menghadirkan nuansa molasses, intense spice, tobacco leaf yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Velvety,Semeru (Light / WetHulled): 400g (40%) | Java Manglayang (Dark / SemiWashed): 350g (35%) | Arjuno (Medium / Natural): 250g (25%) | total: 1000g,Best for Moka Pot
S-WIN-022,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Shrouded Camp,The Dark Passage · Seasonal collection,Wanoja Kamojang Medium Honey 50% | Sembalun Rinjani Medium Anaerobic 50%,Medium,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Sembalun Rinjani dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Anaerobic, menghadirkan nuansa honey, tropical punch, tamarind yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Smooth,Wanoja Kamojang (Medium / Honey): 500g (50%) | Sembalun Rinjani (Medium / Anaerobic): 500g (50%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-023,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Silent Sanctum,The Dark Passage · Seasonal collection,Java Preanger Dark Wine 40% | Sembalun Rinjani Light Washed 35% | Java Ijen Raung Medium WetHulled 25%,Medium,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Java Preanger serta Sembalun Rinjani serta Java Ijen Raung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan Washed, menghadirkan nuansa mushroom, earthy, dark espresso yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Smooth,Java Preanger (Dark / Wine): 400g (40%) | Sembalun Rinjani (Light / Washed): 350g (35%) | Java Ijen Raung (Medium / WetHulled): 250g (25%) | total: 1000g,Best for Moka Pot
S-WIN-024,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Forgotten Station,The Dark Passage · Seasonal collection,Lampung Robusta Premium Light Anaerobic 50% | Sembalun Rinjani Dark SemiWashed 30% | Wanoja Kamojang Dark Natural 20%,Medium,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Lampung Robusta Premium serta Sembalun Rinjani serta Wanoja Kamojang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan SemiWashed, menghadirkan nuansa raspberry, dark berry, walnut yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Round,Lampung Robusta Premium (Light / Anaerobic): 500g (50%) | Sembalun Rinjani (Dark / SemiWashed): 300g (30%) | Wanoja Kamojang (Dark / Natural): 200g (20%) | total: 1000g,Best for Moka Pot
S-WIN-025,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Midnight Rampart,The Dark Passage · Seasonal collection,Gunung Halu Dark SemiWashed 65% | Temanggung Dark Wine 35%,Dark,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Gunung Halu serta Temanggung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Wine, menghadirkan nuansa walnut, aged wine, tobacco yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Bold,Gunung Halu (Dark / SemiWashed): 650g (65%) | Temanggung (Dark / Wine): 350g (35%) | total: 1000g,Ideal untuk Ristretto
S-WIN-026,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Rugged Citadel,The Dark Passage · Seasonal collection,Solok Radjo Medium Anaerobic 40% | Papua Dogiyai Medium WetHulled 35% | Java Garut Medium Washed 25%,Medium,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Solok Radjo serta Papua Dogiyai serta Java Garut dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Anaerobic dan WetHulled, menghadirkan nuansa cacao nib, fermented fruit, almond yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Balanced,Solok Radjo (Medium / Anaerobic): 400g (40%) | Papua Dogiyai (Medium / WetHulled): 350g (35%) | Java Garut (Medium / Washed): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-027,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Hollow Quarters,The Dark Passage · Seasonal collection,Flores Bajawa Light Wine 65% | Lintong Onan Dark WetHulled 35%,Medium,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Flores Bajawa serta Lintong Onan dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan WetHulled, menghadirkan nuansa blackcurrant, peat, clove yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Smooth,Flores Bajawa (Light / Wine): 650g (65%) | Lintong Onan (Dark / WetHulled): 350g (35%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-028,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Darkened Bivouac,The Dark Passage · Seasonal collection,Wanoja Kamojang Dark Honey 55% | Toraja Kalosi Medium Wine 45%,Dark,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Toraja Kalosi dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Wine, menghadirkan nuansa port wine, espresso, smoked almond yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Full Body,Wanoja Kamojang (Dark / Honey): 550g (55%) | Toraja Kalosi (Medium / Wine): 450g (45%) | total: 1000g,Best for Batch Brew
S-WIN-029,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Sealed Rampart,The Dark Passage · Seasonal collection,Papua Wamena Dark Honey 45% | Java Garut Dark Anaerobic 35% | Papua Wamena Medium WetHulled 20%,Dark,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Papua Wamena serta Java Garut serta Papua Wamena dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Anaerobic, menghadirkan nuansa smoked almond, tobacco, leather yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Heavy Body,Papua Wamena (Dark / Honey): 450g (45%) | Java Garut (Dark / Anaerobic): 350g (35%) | Papua Wamena (Medium / WetHulled): 200g (20%) | total: 1000g,Best for Espresso
S-WIN-030,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Cracked Rampart,The Dark Passage · Seasonal collection,Dampit Malang Medium Honey 50% | Dampit Malang Light Washed 30% | Java Manglayang Light Anaerobic 20%,Light,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Dampit Malang serta Dampit Malang serta Java Manglayang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan Washed, menghadirkan nuansa passion fruit, bergamot, toffee yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Light Body,Dampit Malang (Medium / Honey): 500g (50%) | Dampit Malang (Light / Washed): 300g (30%) | Java Manglayang (Light / Anaerobic): 200g (20%) | total: 1000g,Best for V60
S-WIN-031,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Sealed Threshold,The Dark Passage · Seasonal collection,Temanggung Dark WetHulled 60% | Java Ciwidey Medium Wine 25% | Java Ciwidey Light Washed 15%,Medium,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Temanggung serta Java Ciwidey serta Java Ciwidey dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Wine, menghadirkan nuansa green tea, bergamot, port wine yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Medium Body,Temanggung (Dark / WetHulled): 600g (60%) | Java Ciwidey (Medium / Wine): 250g (25%) | Java Ciwidey (Light / Washed): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-032,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Buried Rampart,The Dark Passage · Seasonal collection,Bengkulu Dark SemiWashed 45% | Arjuno Light Honey 35% | Aceh Gayo Light Natural 20%,Medium,"Dari kegelapan yang menjaga bara tetap hidup, blend ini mempertemukan biji-biji dari Bengkulu serta Arjuno serta Aceh Gayo dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Honey, menghadirkan nuansa pear, watermelon, walnut yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Velvety,Bengkulu (Dark / SemiWashed): 450g (45%) | Arjuno (Light / Honey): 350g (35%) | Aceh Gayo (Light / Natural): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
