sku,season,kategori,nama_blend,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-WIN-011,Winter,Seasonal Blend,Summit Winter Select,Kerinci Kayu Aro Dark WetHulled 55% | Flores Manggarai Medium Honey 30% | Flores Manggarai Light WetHulled 15%,Medium,"Menemani hari hujan dengan sempurna, blend dark ini memadukan biji-biji terbaik dari Kerinci Kayu Aro dan Flores Manggarai dan Flores Manggarai. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa maple syrup, intense earth, cedar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Kerinci Kayu Aro (Dark / WetHulled): 550g (55%) | Flores Manggarai (Medium / Honey): 300g (30%) | Flores Manggarai (Light / WetHulled): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-012,Winter,Seasonal Blend,Harvest Winter Journey,Arjuno Medium SemiWashed 55% | Lintong Onan Medium SemiWashed 45%,Medium,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Arjuno dan Lintong Onan. Diproses dengan metode SemiWashed, menghadirkan profil rasa apricot jam, roasted nut, milk caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Arjuno (Medium / SemiWashed): 550g (55%) | Lintong Onan (Medium / SemiWashed): 450g (45%) | total: 1000g,Best for Moka Pot
S-WIN-013,Winter,Seasonal Blend,Primal Winter Spring,Java Preanger Medium Washed 45% | Aceh Gayo Dark Wine 35% | Wanoja Kamojang Medium Honey 20%,Medium,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Java Preanger dan Aceh Gayo dan Wanoja Kamojang. Diproses dengan metode Washed & Wine, menghadirkan profil rasa milk chocolate, toffee, brown sugar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Java Preanger (Medium / Washed): 450g (45%) | Aceh Gayo (Dark / Wine): 350g (35%) | Wanoja Kamojang (Medium / Honey): 200g (20%) | total: 1000g,Best for Moka Pot
S-WIN-014,Winter,Seasonal Blend,Mystic Winter Collection,Solok Radjo Medium Anaerobic 50% | Java Puntang Medium SemiWashed 25% | Sidikalang Dark WetHulled 25%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Solok Radjo dan Java Puntang dan Sidikalang. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa roasted nut, vanilla, clove yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Solok Radjo (Medium / Anaerobic): 500g (50%) | Java Puntang (Medium / SemiWashed): 250g (25%) | Sidikalang (Dark / WetHulled): 250g (25%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-015,Winter,Seasonal Blend,Whisper Winter Valley,Bengkulu Medium Natural 45% | Java Ijen Raung Dark Honey 35% | Semeru Light Wine 20%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend bold ini memadukan biji-biji terbaik dari Bengkulu dan Java Ijen Raung dan Semeru. Diproses dengan metode Honey & Wine, menghadirkan profil rasa wine, plum, dark sugar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Bengkulu (Medium / Natural): 450g (45%) | Java Ijen Raung (Dark / Honey): 350g (35%) | Semeru (Light / Wine): 200g (20%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-016,Winter,Seasonal Blend,Silk Winter Series,Java Puntang Dark SemiWashed 70% | Flores Bajawa Light Anaerobic 30%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend bold ini memadukan biji-biji terbaik dari Java Puntang dan Flores Bajawa. Diproses dengan metode SemiWashed & Anaerobic, menghadirkan profil rasa intense spice, dark caramel, walnut yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Java Puntang (Dark / SemiWashed): 700g (70%) | Flores Bajawa (Light / Anaerobic): 300g (30%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-017,Winter,Seasonal Blend,Timeless Winter Edition,Java Puntang Light Honey 50% | Java Garut Dark WetHulled 25% | Bukit Barisan Medium WetHulled 25%,Medium,"Menemani hari hujan dengan sempurna, blend comforting ini memadukan biji-biji terbaik dari Java Puntang dan Java Garut dan Bukit Barisan. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa honeysuckle, tobacco, mushroom yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Java Puntang (Light / Honey): 500g (50%) | Java Garut (Dark / WetHulled): 250g (25%) | Bukit Barisan (Medium / WetHulled): 250g (25%) | total: 1000g,Best for Moka Pot
S-WIN-018,Winter,Seasonal Blend,Velvet Winter Blend,Flores Manggarai Dark Natural 50% | Papua Dogiyai Dark Natural 30% | Wanoja Kamojang Medium Wine 20%,Dark,"Menemani hari hujan dengan sempurna, blend comforting ini memadukan biji-biji terbaik dari Flores Manggarai dan Papua Dogiyai dan Wanoja Kamojang. Diproses dengan metode Wine & Natural, menghadirkan profil rasa espresso, licorice, tar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Bold,Flores Manggarai (Dark / Natural): 500g (50%) | Papua Dogiyai (Dark / Natural): 300g (30%) | Wanoja Kamojang (Medium / Wine): 200g (20%) | total: 1000g,Best for Espresso
S-WIN-019,Winter,Seasonal Blend,Amber Winter Journey,Papua Dogiyai Light Natural 60% | Lintong Onan Medium Natural 40%,Light,"Blend musim dingin yang menghangatkan jiwa, blend warming ini memadukan biji-biji terbaik dari Papua Dogiyai dan Lintong Onan. Diproses dengan metode Natural, menghadirkan profil rasa dried fig, dark chocolate, watermelon yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Papua Dogiyai (Light / Natural): 600g (60%) | Lintong Onan (Medium / Natural): 400g (40%) | total: 1000g,Best for V60
S-WIN-020,Winter,Seasonal Blend,Twilight Winter Spring,Java Ciwidey Medium Anaerobic 45% | Dampit Malang Light Wine 55%,Light,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Java Ciwidey dan Dampit Malang. Diproses dengan metode Wine & Anaerobic, menghadirkan profil rasa plum, blackcurrant, fermented fruit yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Java Ciwidey (Medium / Anaerobic): 450g (45%) | Dampit Malang (Light / Wine): 550g (55%) | total: 1000g,Cocok untuk AeroPress
S-WIN-021,Winter,Seasonal Blend,Dawn Winter Legacy,Mandheling Dark Wine 50% | Toraja Kalosi Light SemiWashed 30% | Wanoja Kamojang Light SemiWashed 20%,Medium,"Cocok dinikmati di malam dingin, blend dark ini memadukan biji-biji terbaik dari Mandheling dan Toraja Kalosi dan Wanoja Kamojang. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa light caramel, papaya, oolong tea yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Mandheling (Dark / Wine): 500g (50%) | Toraja Kalosi (Light / SemiWashed): 300g (30%) | Wanoja Kamojang (Light / SemiWashed): 200g (20%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-022,Winter,Seasonal Blend,Serenity Winter Series,Aceh Gayo Light SemiWashed 40% | Flores Bajawa Dark WetHulled 60%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Aceh Gayo dan Flores Bajawa. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa peat, oolong tea, bark yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Aceh Gayo (Light / SemiWashed): 400g (40%) | Flores Bajawa (Dark / WetHulled): 600g (60%) | total: 1000g,Best for Moka Pot
S-WIN-023,Winter,Seasonal Blend,Heritage Winter Peak,Sembalun Rinjani Dark Anaerobic 45% | Papua Dogiyai Medium Washed 55%,Medium,"Rasa tebal dan mengenyangkan, blend intense ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Papua Dogiyai. Diproses dengan metode Washed & Anaerobic, menghadirkan profil rasa milk chocolate, black cherry, brown sugar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Sembalun Rinjani (Dark / Anaerobic): 450g (45%) | Papua Dogiyai (Medium / Washed): 550g (55%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-024,Winter,Seasonal Blend,Serenity Winter Peak,Dampit Malang Medium SemiWashed 55% | Bali Kintamani Medium Washed 30% | Bali Kintamani Dark Washed 15%,Medium,"Menemani hari hujan dengan sempurna, blend warming ini memadukan biji-biji terbaik dari Dampit Malang dan Bali Kintamani dan Bali Kintamani. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa bitter chocolate, molasses, milk caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Dampit Malang (Medium / SemiWashed): 550g (55%) | Bali Kintamani (Medium / Washed): 300g (30%) | Bali Kintamani (Dark / Washed): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-025,Winter,Seasonal Blend,Horizon Winter Fusion,Gunung Halu Medium SemiWashed 70% | Bukit Barisan Light Natural 30%,Medium,"Menemani hari hujan dengan sempurna, blend comforting ini memadukan biji-biji terbaik dari Gunung Halu dan Bukit Barisan. Diproses dengan metode SemiWashed & Natural, menghadirkan profil rasa milk caramel, tropical fruit, roasted nut yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Gunung Halu (Medium / SemiWashed): 700g (70%) | Bukit Barisan (Light / Natural): 300g (30%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-026,Winter,Seasonal Blend,Amber Winter Story,Flores Bajawa Dark SemiWashed 45% | Flores Manggarai Light WetHulled 55%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend dark ini memadukan biji-biji terbaik dari Flores Bajawa dan Flores Manggarai. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa green pepper, intense spice, cedar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Flores Bajawa (Dark / SemiWashed): 450g (45%) | Flores Manggarai (Light / WetHulled): 550g (55%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-027,Winter,Seasonal Blend,Equator Winter Peak,Java Manglayang Medium Honey 45% | Flores Manggarai Light Natural 35% | Papua Wamena Light WetHulled 20%,Light,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Java Manglayang dan Flores Manggarai dan Papua Wamena. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa honey, lime, blueberry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Java Manglayang (Medium / Honey): 450g (45%) | Flores Manggarai (Light / Natural): 350g (35%) | Papua Wamena (Light / WetHulled): 200g (20%) | total: 1000g,Cocok untuk AeroPress
S-WIN-028,Winter,Seasonal Blend,Twilight Winter Origin,Lintong Onan Light Wine 60% | Dampit Malang Medium WetHulled 25% | Gunung Halu Dark Natural 15%,Light,"Rasa tebal dan mengenyangkan, blend dark ini memadukan biji-biji terbaik dari Lintong Onan dan Dampit Malang dan Gunung Halu. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa tar, mushroom, woody yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Light Body,Lintong Onan (Light / Wine): 600g (60%) | Dampit Malang (Medium / WetHulled): 250g (25%) | Gunung Halu (Dark / Natural): 150g (15%) | total: 1000g,Best for V60
S-WIN-029,Winter,Seasonal Blend,Primal Winter Signature,Lampung Robusta Premium Dark Washed 50% | Mandheling Light Washed 25% | Toraja Sapan Light Wine 25%,Medium,"Menemani hari hujan dengan sempurna, blend intense ini memadukan biji-biji terbaik dari Lampung Robusta Premium dan Mandheling dan Toraja Sapan. Diproses dengan metode Washed & Wine, menghadirkan profil rasa grape must, bitter chocolate, smoky caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Lampung Robusta Premium (Dark / Washed): 500g (50%) | Mandheling (Light / Washed): 250g (25%) | Toraja Sapan (Light / Wine): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-030,Winter,Seasonal Blend,Ancient Winter Fusion,Mandheling Dark SemiWashed 60% | Semeru Light Anaerobic 40%,Medium,"Menemani hari hujan dengan sempurna, blend dark ini memadukan biji-biji terbaik dari Mandheling dan Semeru. Diproses dengan metode SemiWashed & Anaerobic, menghadirkan profil rasa passion fruit, walnut, cola yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Mandheling (Dark / SemiWashed): 600g (60%) | Semeru (Light / Anaerobic): 400g (40%) | total: 1000g,Best for Moka Pot
S-WIN-031,Winter,Seasonal Blend,Ritual Winter Ridge,Aceh Gayo Dark Wine 70% | Bukit Barisan Dark Washed 30%,Dark,"Cocok dinikmati di malam dingin, blend bold ini memadukan biji-biji terbaik dari Aceh Gayo dan Bukit Barisan. Diproses dengan metode Washed & Wine, menghadirkan profil rasa tobacco, dark roast, molasses yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Heavy Body,Aceh Gayo (Dark / Wine): 700g (70%) | Bukit Barisan (Dark / Washed): 300g (30%) | total: 1000g,Ideal untuk Ristretto
S-WIN-032,Winter,Seasonal Blend,Midnight Winter Blend,Java Sindoro Dark Wine 45% | Sembalun Rinjani Light Natural 55%,Medium,"Cocok dinikmati di malam dingin, blend warming ini memadukan biji-biji terbaik dari Java Sindoro dan Sembalun Rinjani. Diproses dengan metode Wine & Natural, menghadirkan profil rasa blueberry, hibiscus, tropical fruit yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Java Sindoro (Dark / Wine): 450g (45%) | Sembalun Rinjani (Light / Natural): 550g (55%) | total: 1000g,Best for Moka Pot
S-WIN-033,Winter,Seasonal Blend,Bronze Winter Legacy,Java Temanggung Medium WetHulled 60% | Bengkulu Dark SemiWashed 40%,Medium,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Java Temanggung dan Bengkulu. Diproses dengan metode SemiWashed & WetHulled, menghadirkan profil rasa dark caramel, mushroom, spice yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Java Temanggung (Medium / WetHulled): 600g (60%) | Bengkulu (Dark / SemiWashed): 400g (40%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-034,Winter,Seasonal Blend,Sacred Winter Story,Aceh Gayo Dark Washed 60% | Mandheling Light Anaerobic 40%,Medium,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Aceh Gayo dan Mandheling. Diproses dengan metode Washed & Anaerobic, menghadirkan profil rasa passion fruit, bitter chocolate, smoky caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Aceh Gayo (Dark / Washed): 600g (60%) | Mandheling (Light / Anaerobic): 400g (40%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-035,Winter,Seasonal Blend,Midnight Winter Story,Temanggung Light WetHulled 50% | Java Garut Medium SemiWashed 25% | Sembalun Rinjani Medium Washed 25%,Light,"Rasa tebal dan mengenyangkan, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Java Garut dan Sembalun Rinjani. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa lime, apricot jam, caramel yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Temanggung (Light / WetHulled): 500g (50%) | Java Garut (Medium / SemiWashed): 250g (25%) | Sembalun Rinjani (Medium / Washed): 250g (25%) | total: 1000g,Best for V60
S-WIN-036,Winter,Seasonal Blend,Horizon Winter Select,Temanggung Dark Natural 60% | Java Manglayang Light Anaerobic 25% | Java Puntang Dark WetHulled 15%,Dark,"Rasa tebal dan mengenyangkan, blend comforting ini memadukan biji-biji terbaik dari Temanggung dan Java Manglayang dan Java Puntang. Diproses dengan metode WetHulled & Natural, menghadirkan profil rasa lychee, charcoal, tar yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Bold,Temanggung (Dark / Natural): 600g (60%) | Java Manglayang (Light / Anaerobic): 250g (25%) | Java Puntang (Dark / WetHulled): 150g (15%) | total: 1000g,Best for Batch Brew
S-WIN-037,Winter,Seasonal Blend,Dawn Winter Select,Java Sindoro Dark Natural 50% | Flores Manggarai Medium Washed 50%,Dark,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Java Sindoro dan Flores Manggarai. Diproses dengan metode Washed & Natural, menghadirkan profil rasa dark berry, caramel, espresso yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Full Body,Java Sindoro (Dark / Natural): 500g (50%) | Flores Manggarai (Medium / Washed): 500g (50%) | total: 1000g,Best for Batch Brew
S-WIN-038,Winter,Seasonal Blend,Volcano Winter Crest,Arjuno Medium WetHulled 40% | Papua Dogiyai Medium WetHulled 60%,Medium,"Menemani hari hujan dengan sempurna, blend spiced ini memadukan biji-biji terbaik dari Arjuno dan Papua Dogiyai. Diproses dengan metode WetHulled, menghadirkan profil rasa earthy, woody, leather yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Arjuno (Medium / WetHulled): 400g (40%) | Papua Dogiyai (Medium / WetHulled): 600g (60%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-039,Winter,Seasonal Blend,Celestial Winter Peak,Toraja Kalosi Medium Washed 50% | Bali Ulian Medium SemiWashed 50%,Medium,"Rasa tebal dan mengenyangkan, blend dark ini memadukan biji-biji terbaik dari Toraja Kalosi dan Bali Ulian. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa vanilla, milk caramel, roasted nut yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Toraja Kalosi (Medium / Washed): 500g (50%) | Bali Ulian (Medium / SemiWashed): 500g (50%) | total: 1000g,Best for Moka Pot
S-WIN-040,Winter,Seasonal Blend,Amber Winter Origin,Sidikalang Light Washed 70% | Arjuno Medium Natural 30%,Light,"Cocok dinikmati di malam dingin, blend warming ini memadukan biji-biji terbaik dari Sidikalang dan Arjuno. Diproses dengan metode Washed & Natural, menghadirkan profil rasa dried fig, peach, prune yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Silky,Sidikalang (Light / Washed): 700g (70%) | Arjuno (Medium / Natural): 300g (30%) | total: 1000g,Best for V60
S-WIN-041,Winter,Seasonal Blend,Mystic Winter Series,Toraja Sapan Light Natural 50% | Bukit Barisan Dark Washed 25% | Java Garut Dark Washed 25%,Medium,"Menemani hari hujan dengan sempurna, blend spiced ini memadukan biji-biji terbaik dari Toraja Sapan dan Bukit Barisan dan Java Garut. Diproses dengan metode Washed & Natural, menghadirkan profil rasa strawberry, blueberry, dark roast yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Toraja Sapan (Light / Natural): 500g (50%) | Bukit Barisan (Dark / Washed): 250g (25%) | Java Garut (Dark / Washed): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-042,Winter,Seasonal Blend,Golden Winter Peak,Java Ijen Raung Dark SemiWashed 60% | Java Preanger Medium Wine 40%,Dark,"Rasa tebal dan mengenyangkan, blend bold ini memadukan biji-biji terbaik dari Java Ijen Raung dan Java Preanger. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa balsamic, roasted grape, espresso yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Full Body,Java Ijen Raung (Dark / SemiWashed): 600g (60%) | Java Preanger (Medium / Wine): 400g (40%) | total: 1000g,Ideal untuk Ristretto
